mid-June; lawsuit; anti-abortion advocates.; country.; police.; martial-arts weapon; police; compliance.; nunchakus; Hundreds; Los Angeles Police Department; demonstrator; persistent complaints; serious injury; numerous suits; double standard.; widespread calls; national movement; national conscience; recent months
colossal tunneling machine; English Channel; white cliffs; chunnel; digging; 31-mile tunnel; dream; change; tangle; tunnel builders; Britain; Dover; country; channel; Eurotunnel; London-Paris journey; project; tunnel traffic; reality; tall loads
India; paramilitary forces; red alert; Washington.; gangs; speech.; evening.; scapegoats.; election.; blast.; Sunday.; streets; T.N. Seshan; security guards.; body home.; people; next month; cities; violence; Eyewitnesses
GOVERNMENT; health experts; messages; yesterday; bovine spongiform encephalopathy; BSE; public anxiety; official advice; mad cow; forecasts; pattern; scientific evidence; abattoir staff; government; Dr Kenneth Calman; attention; herd; humans; people; CJD
last week; federal judge; order.; community.; departments.; employees; first-of-its-kind metropolis.; temporary delay; civil rights suit; unusual order; cities; spotlight; department policy; heat; methods; officers; siege mentality; recommendations; influence; officers
tornado facts; National Weather Service; Insurance Information Institute; news accounts; month; portion; spiral; twisters; states; tornado-related deaths; large hail; p.m. _; Tornadoes; single outbreak; paths; year; April; southwest; people; April
natural occurrence one; witness; Larry Toy; phenomenon; years.; performance; Chabot College astronomy professor; 150-mile-wide path; view; people; difficult-to-reach terrain; longest-lasting eclipses; opportunity; point; line-up; Harold Zirin; Astronomy magazine.; narrow path; new moon; areas
Mother Nature; marathon Sunday; windy weather; respectability; fields; conservative approach; Old Style/Chicago marathon; memorable race; distinct advantage; strength; patient; men; steady runners; men; Janicki; impressive times; fast course; one; good race; race organizers
Mr. Hart; findings; discussion; politics; dismay; disgust many voters; political self-preservation; Washington politicians; Hart-Bailey report; less-beholden lawmakers; strong momentum; government; government; country; politicians; deep depression; power; way; pollsters; responsive representation
Canadians; saddened Tuesday; Fergus Kilmartin; performance; national hero Ben Johnson; Coquitlam; thrill; disappointed nation; distaught Rodney; Olympic gold medal; national embarrassment; return; local children; Jamaican-born runner; British Colombia; validity; destruction; government; family; drugs
white Long Beach police officer; black man; plate-glass window; Friday; arrest; D-Concord; Jan.; official report; report; allegations; report; operation; television crew; incident; Dickey; Dickey; separate vehicle; Dickey; reports; officers
Lawmakers; Thursday; question; illegal aliens; R-Pa.; people; forum; D-Calif.; D-Texas; letter; system; people; effort; government; Census; country; U.S. Constitution; others; D-Calif; country
Canadian Ben Johnson; Olympics today; cheating; complete state; shock; coach; denials; Many athletes; 100-meter dash; sprinter Horace Dove-Edwin; confirmation; manager; sister; spiked sarsparilla; American Carl Lewis; today; days; anything; accusation; prize
people; trips; years; traveler; others report.; Baja.; surface.; scramblers; airline seats; show; event; Paul Kloetzel; Learning; event; blotted-out-sun watchers; advance; would-be eclipse-watchers; people; president; hotel reservations
Language; Spanish Article Type; BFN; Lima; AFP; end; armed agitation; Feb; weapons; surrender; conquerors; improvement; symbols; victors; weapons; reliable source; television program; self-dismantling; government authorities; propaganda
winds; Hurricane Gilbert; miles; meterologist; U.S. weather officials; Mark Zimmer; coastlines; great dome; Gilbert; U.S. history; tall chimney; hour; Sept.; detailed records; engine; water; Zimmer; intense hurricane; records; Hurricane Debby
Police; top military leader; Path; Maoist rebel group; eight-year guerrilla war; ideologist; men; Mantilla; Officials; radical leader; people; terrorists attacks; suspicious behavior; Mantilla; officials; military chief; Peru; lives; leader; semi-clandestine political work
Workmen tunneling; English Channel; first land link; Britain; TransManche Link; Chunnel; tunnel; mid-tunnel; breakthrough; prodigious feat; Continent; miles; rough line-up; finance; engineering; arrival; historic linkup; construction consortium; French drillers; plans
Language; BFN; Arabic Article Type; Rafiq al-Zayn report; Beirut; dangerous secrets; affiliations; Finland; special mission; people; centers; officials; Jordanian authorities; Ma'ayitah; investigation; investigation; ARABI; Abu-Nidal group; mystery; investigations
Cloudy weather Saturday; show; thousands; foreign skygazers; glimpse; land; interest; information; extra stock; eastern town; special eyeglasses; influx; conditions; Marjut Cadia; chance; Finnair; people; event; watchers; weather forecast
coalition; members; Congress; effort; Wednesday; count; R-Kan.; U.S. citizerns; R-Pa.; spokesmen; agency; unfair shifts; Census Bureau; political structure; national head count; Thursday; members; Congress; U.S. Constitution; Dan Stein
Mr. Kelley; training; glory; Bill Rodgers; Boston Marathon; institution; running; rivals; man; old celebrity; person; cab fare; two-time winner; marathoners; 60th Boston Marathon; year; course; race; Japanese runners; Leslie Pawson
Yasser Arafat; Tuesday; PLO officials; United States; American targets; U.S. government; U.S.; Palestinian guerrillas; PLO; government; Washington; possible targeting; interpretation; PLO; political assassination; PLO offices; PLO officials; reports; Americans; Israeli officials
Authorities; injured pilot; Wednesday; Boeing; clues; U.S. media; possible cross-wiring; suspicion; wilder headlines; airplanes; Sunday; CFM56 engines; Freddie Yetman; government; engine; investigators; investigation; news reports; type; Investigators
GUERRILLA tactics; Greenpeace; White House pomp; Mr Clinton; similar exploits; anti-Nafta sentiment; anti-Nafta forces; pro-Nafta literature; pro-Nafta case; battle; Pro-Nafta congressmen; dozens; debate; House hearing; past US presidents; foot anti-Nafta banner; Nafta; week; environmental activists; clever strategic planning
Scientists; engineers; Chile; serious interest reports; distinction; long history; Anti-Seismic Engineering Assn.; stop; U.S.; Oct.; information; sites; president; Chileans; Chilean Seismology; Descriptions; flexible design; Chileans; construction; sharing
Ben Johnson; personal physician; disgraced Olympic sprinter; steroid; rivalry; Astaphan; Astaphan; Astaphan; Astaphan; today; occasion; cross-examination; telephone interview; St. Kitts; Dr. Astaphan; athlete; life; Dr. Jamie Astaphan; oath; months
Maoist; Path guerrillas; Peru; violence-ridden region; law; Upper Huallaga River Valley; system; thievery; People; order; roads; villages; companeros; revolutionary justice; rare conversation; clear rules; drug abuse; Aucayacu; law; months
summer; Torres; health professionals; diabetes.; nutrition; factors.; day.; Hispanics; effort; exercise classes; call -LRB-408-RRB- 287-3785; cultural issues; food; Alexian Brother; taste; food; Hispanic diet; a.m.; Hispanic lifestyle.; first time.
bright yellow flame-retardant shirt; Donald Despain; ash-covered forest floor; scorched hillside; sight; everything; earth; trees; 60-mile-an-hour winds; rectangular frame; many people; fireweed; rebirth; ground cover; research biologist; firestorm; temperatures; seed; Others; seeds
SLOVENIA; economic prospects; relations; NBY; former National Bank; Slovenes; new relations; political atmosphere; foreign creditors; vice-governor; Yugoslavia; Officials; NBY; addition; central bank; NBY; government; negotiations; debt-service ratio; majority
blow; California; states; Friday; large immigrant populations; Pulido; Pulido; city; Senate; city; Pulido; proposal; attempt; information; State officials; county advocates; action; opponents; people; individuals
Firefighters; California; Michigan; water-carrying aircraft; Montana; four-day fire; rugged acres; year; Illegal fireworks; Phil Jaquith; Wyoming; Utah; acres; today; holiday weekend fires; 2,000-acre fire; evidence; portions; small contingent; bulk
lawsuit; months; articles; Enquirer; Fla.; Lantana; activities; management; June; G.P. Group Inc.; dispute; Star tabloids; access; Enquirer; newspaper; Enquirer; settlement; information; report; paper
World Bank; loan volume; strength; country; efforts; staff; operational directive; today; judge; central mission; new drive; country officials; support; social conditionality; collaborative approach; operations; staff; support; emphasis; link
accidental shooting death; young stockbroker; officer; strike; burglar; brutality; police force; allegations; report; recent incidents; community; a.m.; problem; assessment; slaying; year; apartment; officers; people; officer
Elizabeth Taylor; assistance; ventilator; surgery; Michael Wilding; Maria Burton-Carson; anything; additional details; intensive-care unit; Hospital; pneumonia; law; Liza Todd-Tivey; hospital officials; cause; St. John; therapy; physicians; weeks; prudent course
health department; tuberculosis testing; treatment; program; caseload; established residence; staff members; total; control; programs; city schools; people; Human Resources Administration; substance-abuse treatment services; homeless; germ; susceptible individuals; tuberculosis prevention; concentration; children
Exxon salvage crews; stricken tanker Exxon Valdez; former captain; Wednesday; man-made destruction; authorities; vessel; Alaskan authorities; animal-rescue teams; country; people; Joseph Hazelwood; hours; oiled birds; local authorities; extradition proceedings; effort; Alaska; area; oil-skimming boats
tuberculosis rate; U.S. prisons; times; Thursday; testing; federal health officials; states; isolation; non-incarcerated adults; Persons; measures; particular problems; Researchers; survey; close contacts; prisons; bars; Americans; week; United States
Article Type; BFN; Editorial Report; reactions; compilation; Hamburg DPA; violence; savage capitalism; shock; expert; assassination; Colosio; sympathy; public rallies; antidemocratic forces; Colosio; Colosio; Colombian Government; Mexican affairs; people
Britain; France; English Channel; workers; two-inch probe; TransManche Link; probes; different progress; Tuesday; French colleagues; Management sources; historic linkup; threading; Chunnel; tunnel; service gallery; land passage; car-ferry journey; air passing; halves
Egypt; parliament speaker; security men today; state funeral; government; assassination Friday; grim-looking President Hosni Mubarak; second-highest official; Rifaat el-Mahgoub; Iraqi agents; Egyptian Moslem fundamentalists; mourners; Symbolic units; el-Mahgoub; Relatives; Hundreds; dozen wreath-bearers; white-uniformed policemen; el-Mahgoub; condolences
late 1970s; poor farmers; communities; small town; fields; widespread anger; support; jungles; UMOPAR; U.S. officials; connection; U.S. officials; farmers; countries; links; shootings; coca-growing zone; area; U.S. demand; cacao
CONDITION; cattle; spongiform encephalopathies; Britain; sparsely-scattered antelope population; mad cow disease; kudu; arabian oryx; elands; reporting; cattle; sheep encephalopathies; question; government; species; notifiable diseases; Scrapie; scrapie; sheep; rapid increase
muscles; cartel; diamond prices; De Beers Consolidated Mines Ltd.; top-grade diamonds; London-based Central Selling Organization; Andrew Lamont; deep slump; % next month; U.S.; diamonds; Mr. Lamont; Mr. Zucker; mix; one-carat D-flawless diamonds; two-thirds; South African concern; Lachowsky Zucker; clients; year
VIRGINIA; passionate opposition; North American Free Trade Agreement; Nafta; football; obsession; college; game; little competition; anti-Nafta forces; decision-making; state director; Perot devotee; Nafta; rascals; Nafta vote; rally; Nafta; Mr Perot; congressmen
Mexico; sun worship; modern beachgoers; ancient civilizations; Gortari; slar eclipse; day next year; sun; 165-mile-wide path; Cabinet-level commission; rush; public safety; turf; maximum length; event; place; weird glow; country; influx; financial favor
GATT; Uruguay Round; Blair House; US investors; reasoning; Nafta; direct approach; Nafta; better-quality products; Nafta; works; Nafta; defeat; US companies; Nafta; Nafta; Nafta; Nafta; business leaders; economy
Memphians; prediction; Big; tremors; December; area; Mo.; course; Missouri; Paragould; prediction; Entrepreneurs; Miss Faultless; people; Mississippi Valley; gas-line safety gadgets; soil; events; Dec.; Blytheville
Atlantic hurricane season; storms; forecasters; forceful hurricanes; batch; hint; year; season; today; devastating storms; years; forecaster; years; semi-arid land; year; general outlook; U.S.; Gilberts; Hugos; reduction
helicopter; wave-washed beach; oil spill; U.S. history; Silvery sticks; driftwood poke; shorelines; Joe Bridgman; mid-September; Bridgman; view; cobble beach; deep blanket; threat; question; lawyers; wildlife populations; slick; first steps; remnant
US INSURERS; Dollars; Pounds; bn; worst-ever year; extensive survey; area; projection; region; preliminary guesses; total; level; second visit; figure; figure; people; industry; bn; government; final cost
welfare state; glue; social fabric; world; advanced capitalist economies; OECD; short-term measures; cost; Reform; immediate cause; OECD; OECD countries; countries struggle; ageing; enormous expansion; element; growth; OECD countries; cost; budget deficits burden
horn; dominant group; Africa; athletic isolation; marathon runners; barefoot; world; furious rush; force; story; nation; indelible stamp; hero; darkened streets; Rome; career; major marathons; year Bikila; last time Ethiopia; stride
HURRICANE Andrew; natural disaster; US history; 2m people; 10-mile band; state; yesterday; land; low-lying city; way; rural communities; water; member; area; agricultural Cajun country; severe damage; US insurers; force; severe damage; damage
unqualified mate; Exxon Valdez; company policy; Coast Guard regulations; Sunday; Otters Biologists; tanker; U.S. history; investigation; cleanup; shipping lanes; cleaning; state resources; mile; efforts; Many questions; oil spill; 987-foot vessel; fears; California
root; problems; Congress; major scandal; turnover; legislative arrogance; huge staffs; new ideas; unaccountability; Franking privileges; South Dakotans; incumbents; House incumbents; gerrymandering; term-limits; competition; %; challengers; elections; people
argument; citizen Congress; flow; Washington; fresh faces; government; counter-argument; representatives; lengthy tenure; market; government; solution; experience; interaction; freshness; threat; validity; system; inducements; staff
John Hatch; founder; non-profit Foundation; International Community Assistance; private enterprise; village banking; body blow; bootstrap economics; world poverty; Third World
US CITIES; Gulf; Mexico; Alabama; eastern Texas; fresh strength; west; UK underwriters; Non-Marine Association; little impact; total losses; retrocession market; General Accident; Dollars 4bn-Dollars 6n; industry analysts; Sun Alliance; outlying eastern islands; Miami; large concentration; US insurers
state constitutional amendment; right; felons; arms; guns; charge; backers; Prosecutors; judge; Friday; felons; Saturday; citizens; felon; nothing; Edward Brown; ownership; amendment; guns; amendment
Elizabeth Taylor; near-fatal bout; life; pneumonia _; reporters; balcony attire; doctors; breathing; response; Michael Wilding; persistent rumors; weekend; reports; cards; letters; Weintraub; 58-year-old actress; friends; hospital; Weintraub
chairman; House Agriculture Committee; hearings; next year; stubborn wildfires; one-third; West; area; year; people; Rep. Kika; concern; rehabilitation; drought-relief legislation; scientific research; people; tremendous build-up; major problem; dozens; policies
Mr Ernesto Zedillo; Mexico; next president; doubts; difficulties; official; Mexico; reform-minded politicians; man; party; conspirators; violent resistance; alleged alliance; man; federal deputy; political reactionaries; killing; party; list; changes
Supercomputers; satellites; expertise; several hurricane forecasters; people; S.C.; Forecasters; time; strength; knowledge; forecasters; Thomas Pyke; uncertain science; forecasting ability; forecasters; large-scale models; forecasts; supercomputers; world; Massachussetts Institute
U.S. Air Force F-111 fighter-bomber; today; Saudi Arabia; U.S. military officials; kingdom; days; F-model; crew members; F-model; Germany; Aug.; U.S. forces; investigation; names; action; military spokesman; fourth American aircraft; version; state-of-the-art equipment; F-111
St. Martin; pp.; CHARLIE Francis; too.; endorsements; Dianabol; moment; field.; mad scientist; remarkable path; confessional; federal inquiry; system; Toronto; history; man; polysyllabic names; something; performance-enhancing drugs; life
People; forecasters; Hurricane Hugo last year; public; deadly storm; forecaster; Missisippi; positive side effect; attention; areas; Overland; SLOSH models; residents; new era; Nov.; people; advent; forecasters; people; mass
Foreigners; domination; winners; course-record time; New York City Marathon; Grete Waitz; Juma Ikangaa; Douglas Wakiihuri; result; finish; Panfil; Panfil; Panfil; Poland; time; title; anything; champion; race; overall winner
Path guerrillas; bloody uprising; mountains; shantytowns; Abimael Guzman; capital; years; immense masses; people; public role; founder; ever-bolder attacks; eight-year expansion; slums; secretive fanatics; makeshift communities; political force; Maoist rebels; reactionary forces; two-thirds
%; police chiefs; sheriffs; criminals; law-abiding citizen; unarmed felons; N.Y.; enormous voting; prisoner survey; pro-gun lobby; ban; Gary Kleck; year; Mr. Gartner; firearm; life member; Mr. Gartner; adults; penalties; Criminals
predictions; demise; years; Organization; uncut-diamond market; diamond slump; No.; rough-diamond prices; doldrums; General; public-relations officials; U.S.; three-fourths; strategy; love; world-wide network; international tin cartel; Ayer; comeback; mystique
wake; firestorm; local firefighters; area; hills; escape.; wildfires.; two-inch pipes.; county; deadly firestorm.; firetrucks; Kraule; Oct.; flammable shake roofs.; fire chief; danger; Oakland-like inferno; 10-inch water; year; weak bridges
lesson; Clarence Thomas; America; mother; parents; caring; confidence; money; abuse; Catholic school; age; something; place; pro-abortion lobby; uselessness; successful people; love; pain; year; nothing
Exxon officials Monday; plan; miles; Alaskan coastline; nation; mid-September; 60-page report; strategy; plan; nothing; oil spill; oil-tainted shores; plan; cleanup; environment; proposal; areas; Signs; others; exemptions
Bank; Boston Corp.; decision; stength; international repercussions; Third World loans; regionals; move; Co.; Jr.; regionals; regionals; regional banks; bankers; year; Management; competitive advantage; money-center banks; Woods Inc.; Actions
BLOOD-RED letters; sign; D-Ariz; front window; Act; suburban Phoenix; turncoat; Dealers Outlet gun store; names; time; fast-growing list; Law-enforcement leaders; friendliness; George Hiers; fury; Politicians; retaliation; National Rifle Assn.; flock; firearms
commission; Chief Gates; problems; badge; chief; us-against-them style; Mr. Gates; D.C.; transition period; others; consecutive five-year terms; significant improvements; officers; years; supervisors; community leaders; one-quarter; many officers; negative interaction; blue-ribbon study
official reports; casualties; fighting; television interview; Slovene Defense Minister Janez Jansa; Slovenes; several Yugoslavs; places; Slovenes; drama; Slovenia; patrolling; thousands; areas; several tourists; government helicopters; Wednesday; Slovenia; something; war
Exxon Corp.; Wednesday; estimate; costs; 500-million charge; massive Alaskan oil spill; earnings; costs; Revenue; expensive environmental disaster; others; company; one-time gain; oil; Exxon; total costs; 500-million charge; company; liability; additional charge
propositions; California; Nov.; citizen-type legislator; many members; D-Riverside; politics; ballot; terms; expertise; R-Monrovia; similar legislation; legislation; system; things; lobbyists; new faces; citizenry; Legislature; people
Mad cow disease; cattle; export market; Britain; cattle industry; fears; everyone; Martin Raff; scientists; government; remote risk; human health; safety; scrapie; suspicion; beef; neurobiologist; pressure; disease; Gourlay
President Bill Clinton; pledge; popular lines; welfare; election campaign; government spending; last year; voters; American mind; idea; nation; welfare cheques; strict two-year time limit; addition; America; human spirit; evils; people; AFDC; urgent priorities
month; elections; assassination; political chaos; third presidential candidate; government; jetliner Thursday; Colombia; newspaper; country; shooting; country; citizens; Colombians; government; M-19; militarization; Pizarro; limit; Pizarro
study; U.S. death toll; major hurricane; head; Tuesday; opening; new glass-windowed high-rises; year; belt Bermuda; GOES-West; people; one; Maine; coastal counties; thought; view; evacuations; crowded urban areas; limited vision; certain conditions
solid reasons; congressional term limitation; public-choice persuasion; economists; ruling; culture; politician; term-limit initiatives; legislative influence; Beltway; microphones; D.C.; something; laws; check-bouncing; individuals; experience; six-year limits; individuals; face
civil servants; Washington; development; vexing question; advice; firm leadership; bankers; September; new imperatives; weekend; former chairman; president; Third World; spring meetings; unsolved problems; EBRD; Mr Lewis Preston; presidential institution; 1bn people; governments
Consuelo; First Communion; year; Abuelita; Abuelita; grandmother; communities; Many people; Upjohn Co.; Latinos; actual people; doctors; story; major push; United States; life; Abuelita; interested physicians; Nationwide; doctors
years; record; tornadoes; flooding; WeatherData Inc.; 30-year average; nation; southern sections; nation; year; response; Michael Smith; Frederick Ostby; response; many sources; warning; readjustment; reliable records; meteorologists; Kentucky
May; Queen; President Mitterrand; recovery; signal; Kent; L'Abri-tanique; Channel Tunnel; continentals; FFr4m; FFr2m; property market; Hesdin; France; FFr2; Inquiries; FFr750; agents; region; FFr500
U.S. Air Force A-10 attack jet; Britain; morning; routine training flight; Ariz.; Dec.; Tracy; Pentagon; Europe; practice; second crash; information; A-10; Tuscon; damage; pilot; chief spokesman; ammunition; Dan Howard; Thunderbolt jet
Actress Elizabeth Taylor; pneumonia; stable Thursday; publicist; St. John; Hospital; Lisa Del Favaro; Inquiries; Health Center; Taylor spokeswoman; Chen Sam; hospital; nothing; health problems; year; Associates public relations; full recovery; air tube; Chen Sam; tracheotomy
FIGHT; Washington; members; Congressional districts; pro-Nafta forces; North American Free Trade Agreement yesterday; sampling public opinion; elusive momentum; home; debate victory; victory; debate watchers; new-found enthusiasm; attack; support; anti-Nafta whip; US opponents; congressmen; serious ignorance; certain judgments
Tetsuya Theodore Fujita; natural tornado; Denver; passion; lover; research; meeting; Fujita; Forecasters; rulers; professor; aircraft; localized severity; full-size cousins; books; geophysical science; lab; direction; years; motion
Forecasters; Thursday; opening; arrival; new technological help; ever-growing coastal populations; Fla.; Forecasters; experts; Atlantic hurricane season wish; forecasters; missions; Ken McKinnon; peak; nothing; years; appropriate agencies; forecasters; need; '40s
bits; White House lawn; vote; Jim Jontz; head; matriarchy; Nafta; leaners; addition; president; political battles; living former presidents; Perot; evolution; original Nafta; Nafta; pursuit; moderates; old liners; 218-vote nirvana
agreement; quarter; something; formula; disagreement; welfare; job-support system; nation; Sens. Moynihan; work-for-welfare experiments; income-maintenance system; proposal; plan; White House; Washington; support; many points; welfare reform; reform programs; governors
NEGOTIATIONS; new contract; Botswana; world; USDollars; value terms; IDC; IDC; previous three-year contract; government; sure knowledge; IDC; important diamond producer; IDC; London-based group; confidence; Botswana politicians; December; attitude; international cartel
Patience; miles; race; marathon; Run; largest-ever field; race; others; American food; winners; tendency; entrants; Patience; mistakes; lead pack; head start; lead; virtue; sun; Ric Sayre
CSO; Article; Greg Neale; Cow Madness; environment correspondent; British agriculture; multi-million pound disaster; controversy; MAFF; BSE; bovine spongiform encephalopathy; German call; speculation; animals; major political row; farmers; German politicians; certain publicity-hungry scientists; humans; fear
German government yesterday; launch; new research project; BSE; country; cattle disease bovine spongiform encephalopathy; human beings; initiative; humans; safeguards; humans; known cases; danger; humans; Britain; Germany; BSE; conclusive evidence; BSE; last year
Third World countries; Brazil; part Monday; world; nation; U.S. view; nations; Abreau Sodre; progress; forceful action; African brothers; non-communist realm; new strategy; Officials; American; poverty; similar theme; horrors; forebears; help
Language; CSO; English Article Type; Article; Nigel Hawkes; eland; Science Editor; mink; small herd; danger; similar transmission; threat; BSE; spiral-horned antelopes; placentas; gemsbok; strain; finding; Arabian oryx; species
society; position; equal rights; compensation; actual victims; Americans; victimization; America; others; handouts; claim; David Souter; charity; evidence; beggars; people; people; vision; society; independence
160km west; Tokyo; Japan; dense array; hope; coastal Tokai region; rock strain; world; 10m residents; meters; everyone; national project; geophysical instruments; vocal sceptics; Research; Pounds; Tokyo; experts; seismologists; crustal tilt
runners; evening; comedy; music; magic; carbo load dinner; race; man; interpreter; friends; race; TV; Ill.; transportation; much confidence; recovery; Plaatjes; town Tijuana; Maurilio Castillo; home
World Bank President Barber Conable; 20-year career; Republican congressman; H.R.; 151-nation institution; journalists; New York; Mr. Conable; enormous respect; shuffling; organization charts; Mr. Conable; Rep. Tom Foley; Mr. Conable; first year; ideas; strong asset; confrontation; leadership role; disruptive reorganization
Third World debtors; debts; United States; new loans; cash-strapped economies; Sept.; annual report; creditors last year; total; figure; others; net pay-back; actual disbursements; Sunday; mixed performance; mini-boom; preliminary estimate; major drain; figures; impoverishment
Yesterday; tenuous peace; Slovenia; Slovenes; exchange; Slovenia bonds; one; Drasko Veselinovic; recognition; Balkanization; identity; stocks; one; intoxicating declaration; certain logic; Slovenes; considerable trade; recent events; underdeveloped south; foreign exchange rights
Tuberculosis; world; infectious disease; controls; toll; Monday; population; trend; U.N. agency; fact; people; segment; year; first comprehensive look; decade; beds; adults; everyone; global tuberculosis; people
reservists; U.S. military buildup; people; Persian Gulf; military authorities; round-the-clock deployment; Marc Cleyman; hometowns; U.S. personnel; Aug.; people; West Germany; Sgt. Rande Hulec; others; crash; U.S. troops; Sgt. Daniel Garza; Sgt. Rosendo Herrera; Sgt. Carpio Villarreal; Sgt. Lonty A. Knutson
Ben Johnson; world-class sprinter; track; Thursday; pedestal; D-Calif.; athletes; R-N.Y.; muscle-building substance; D-Calif.; performance; field; steroids; athletes; Benjamin Gilman; Henry Waxman; man; country; legislation; pony-tailed Lewis
Drug abusers; AIDS virus; medicine; tuberculosis bacteria; full-blown TB; activation; study; Doctors; today; new exposures; aggressive identification; prevalence; followup; AIDS-infected people; doctors; people; germs; People; study; study
time; 5.75-second time; Daron Council; seconds; board track.; Council.; fame.; race Friday.; epic event; meters.; brief race; Olympics.; department.; puffy.; Fla.; apparent victory; blocks; race; trimness; Asia.
war; former republics; Yugoslavia; Slovene enterprises; Comecon; alternative trading partners; capital inflows; thanks; Iskra; region; Slovene officials; markets; Slovenia; growth; strong monetary policy; Germany; industrial production; means; European Community countries; sharp drop
SUMMARY; lengthy statement; opposition newspaper; Path leadership; strategic rationale; newspaper; full authentication; defeat; temporary tactical retreat; paper; Peruvians; government; experts; struggle; release; anonymous sources; government; paper; peace; silence
Scientists; years; known reliable record; fear; ancient observers; today; danger; researchers; B.C.; next-oldest record; B.C.; explanation; anxiety; editorial; total solar eclipse; Scientists; livers; text analysis; clay tablet; new study
Southern Californians; hills; canyons; desirable places; urban-chaparral interface; places; metropolis; botanists; chaparral country; high-moisture-content plants; natural fires; fire-resistant landscaping; slow-burning characteristics; landscaping; Wildflowers; homeowners; approach; fire-retardant succulents; properties; concept
Pneumonia-stricken actress Elizabeth Taylor; complications; fifth week; hospitalization; recovery; new infections; doctors; today; publicist; weeks; St. John; Chen Sam; hospital; fungemia; doctors; yeast infection; Miss Taylor; death; viral pneumonia; bacterial pneumonia
MR HARRY Oppenheimer; family; Anglo American Corporation; Rosalmazzoloto; unofficial exports; South Africa; Gokhran; industry observers; Russia; rumours; year; company; Komdragmet; chairman; dividend payment; republic; senior officials; London; big shake-up; world trade
years; Ventura County district attorney; office; separate incidents; suspects; records; men; Jean Farley; Oxnard officers; victims; investigation; police; police report; Oxnard man; Deputy Dist; loud party; misdemeanor supervisor; brothers; Oxnard officers; office
police chief; essential role; climate; department; Rambo-like challenge; public statements; chokeholds; violence; man; resounding applause; Many chiefs; citizens; community; fall; new concept; community programs; reasoning; statements; bigots; conflict
ill Elizabeth Taylor; pneumonia; hospital; breathing; Hospital officials; spokewoman; ventilator; conservative course; prominent person; doctors; spokeswoman; family; Analysis; Mohler; Thursday; actress; incision; direct knowledge; Butterfield; weeks
Drugs; AIDS patients; remission; recent advances; Saturday; vaccine; scientists; effort; AIDS experts; Md.; Haseltine; remission; people; interest; William Haseltine; John McGowan; Mullins; researchers; Haseltine; AIDS infection
Thousands; peole; traditions today; event; drums; 108-mile swath; total eclipse; Indonesians; Brahmsarover tanks; wide area; sun; phenomenon; Wilson Sinambela; useful pictures; Colo.; Richard Fisher; city; sacred Sannihit; shadow; harm
Northwest Airlines jet; Sunday; people; one; Detroit; U.S.; snafus; air-travel system; incidents; attention; summer; reassessment; nation; scrutiny; recent near-misses; catalyst; spillover; service problems; airline specialists; consumer concerns
